"filename","error","reported_p","real_p"
"./Papers/Britt-Marie Drottz Sjøberg/Risk Perception by Politicians and the Public.cermxml","F(4,772)=2.14, p=0.009",0.009,0.07417
"./Papers/Britt-Marie Drottz Sjøberg/Risk Perception by Politicians and the Public.cermxml","F(8,772)=1.59, p=0.010",0.010,0.12390
