"filename","error","reported_p","real_p"
"./Papers/Ozlem Simsekoglu Nordfjaern/The role of safety culture_climate and social cognitive factors for driving beha.cermxml","chi2=2725.60, df=830, p<0.001, normed chi2=2.56, RMSEA=0.12, CFI=0.41",0.001,1
"./Papers/Ozlem Simsekoglu Nordfjaern/The role of safety culture_climate and social cognitive factors for driving beha.cermxml","chi2=199.40, df=125, p<0.001, normed chi2=1.60, RMSEA=0.07, CFI=0.91",0.001,1
