"filename","error","reported_p","real_p"
"./Papers/Trond Viggo Grøntvedt/Oxytocin and vulnerable romantic relationships.cermxml","F(1,70/68)=10.27, 13.91, p=0.002, b 0.001.6",0.0020,0.18682
"./Papers/Trond Viggo Grøntvedt/Oxytocin and vulnerable romantic relationships.cermxml","F(1,70/68)=10.27, 13.91, p=0.002, b<=>0.001.6",0.0020,0.18682
