"filename","error","reported_p","real_p"
"./Papers/Tilmann von Soest/The effects of cosmetic surgery on body image_ self-esteem_ and psychological pr.cermxml","Z<=>0.17, p<0.01",0.01,0.86501
"./Papers/Tilmann von Soest/The effects of cosmetic surgery on body image_ self-esteem_ and psychological pr.cermxml","Z<=>0.37, p<0.01",0.01,0.71138
