"filename","error","reported_p","real_p"
"./Papers/Stian Solem/Metacognitive Therapy for Depression_ A 3-Year Follow-Up Study Assessing Recover.cermxml","M=5.23, SD=5.20, F(36,2)=4.78, p=0.014",0.014,0.18779
"./Papers/Stian Solem/Thought Content and Appraisals in Cognitive Behavioral Therapy for Obsessive-Com.cermxml","t(143)=.3.51, p=.001",0.001,0.76461
