"filename","error","reported_p","real_p"
"./Papers/Audrey Van der Meer/A high_density EEG study of differentiation between two speeds and directions of.cermxml","F(2,42)=38.71, p<0.001",0.001,0e+00
"./Papers/Audrey Van der Meer/A high_density EEG study of differentiation between two speeds and directions of.cermxml","F(2,42)=15.92, p<0.001",0.001,1e-05
"./Papers/Audrey Van der Meer/A longitudinal study of prospective control in catching by full-term and preterm.cermxml","t(4)=2.6, p<0.03",0.030,0.06005
