"filename","error","reported_p","real_p"
"./Papers/Mons Bendixen/Universality of the Triangular Theory of Love_ Adaptation and Psychometric Prope.cermxml","F(6,6153)=5.42, p<.001, eta2(p)=.005",0.001,1e-05
"./Papers/Mons Bendixen/Universality of the Triangular Theory of Love_ Adaptation and Psychometric Prope.cermxml","F(6,6153)=11.96, p<.001, eta2(p)=.012",0.001,0e+00
"./Papers/Mons Bendixen/Universality of the Triangular Theory of Love_ Adaptation and Psychometric Prope.cermxml","F(6,6153)=19.54, p<.001, eta2(p)=.019",0.001,0e+00
