"filename","error","reported_p","real_p"
"./Papers/Jolene Van der Kaap-Deeder/Negative Controlling Parenting and Child Personality as Modifiers of Psychosocia.cermxml","t(93)=-1.57, p=.02",0.020,0.11981
"./Papers/Jolene Van der Kaap-Deeder/Self-critical perfectionism and binge eating symptoms_ A longitudinal test of th.cermxml","chi2(1057)=1,'490.41, p<.001; CFI=.948",0.001,1.00000
"./Papers/Jolene Van der Kaap-Deeder/The internalization of and defiance against rules within prison_ The role of cor.cermxml","95% CI [0.023, 0.229], b=0.13, p=0.02",0.02,0.89116
