"","filename","error","reported_p","real_p"
"1","./Papers/Alim Nayum/A comprehensive socio-psychological approach to car type choice.cermxml","F(4,540.29)=360.87, p<.001","0.001","0"
"2","./Papers/Alim Nayum/A comprehensive socio-psychological approach to car type choice.cermxml","chi2=10159.15, df=2359, p<.001; RMSEA=.05; CFI=.94; TLI=.94","0.001","0"
"3","./Papers/Alim Nayum/A comprehensive socio-psychological approach to car type choice.cermxml","chi2=13863.60, df=3097, p<.001; RMSEA=.05; CFI=.92; TLI=. 92","0.001","0"
