"filename","error","reported_p","real_p"
"./Papers/Christian Kløckner/The impact of neighborhood social capital on life satisfaction and self-rated he.cermxml","chi2=1097.937, df=377, p<.001, df/ chi2=2.91; RMSEA=.048 CI .045.052]; CFI=.902; TLI=.890",0.001,1
"./Papers/Christian Kløckner/The impact of neighborhood social capital on life satisfaction and self-rated he.cermxml","chi2=1153.888, df=249, p<.001, df/ chi2=4.63; RMSEA=.065 CI .061.069]; CFI=.868; TLI=.853",0.001,1
