"filename","error","reported_p","real_p"
"./Papers/Frederikus Van der Weel/A high_density EEG study of differentiation between two speeds and directions of.cermxml","F(2,42)=38.71, p<0.001",0.001,0e+00
"./Papers/Frederikus Van der Weel/A high_density EEG study of differentiation between two speeds and directions of.cermxml","F(2,42)=15.92, p<0.001",0.001,1e-05
