"filename","error","reported_p","real_p"
"./Papers/Patrick A. Vogel/Thought Content and Appraisals in Cognitive Behavioral Therapy for Obsessive-Com.cermxml","t(143)=.3.51, p=.001",0.001,0.76461
"./Papers/Patrick A. Vogel/Thought Content and Appraisals in Cognitive Behavioral Therapy for Obsessive-Compulsive Disorder.cermxml","t(143)=.3.51, p=.001",0.001,0.76461
